"","date","state","variant_count","variant","status"
"263",2021-05-17,"Selangor",0,"Delta B.1.617.2","voc"
"264",2021-05-17,"Selangor",0,"Eta B.1.525","voi"
"265",2021-05-17,"Selangor",0,"Theta P.3","voi"
"266",2021-05-17,"Kedah",1,"Beta B.1.351","voc"
"267",2021-05-17,"Sarawak",0,"Alpha B.1.1.7","voc"
"268",2021-05-17,"Sarawak",0,"Delta B.1.617.2","voc"
"269",2021-05-17,"Sarawak",0,"Eta B.1.525","voi"
"270",2021-05-17,"Sarawak",0,"Theta P.3","voi"
"271",2021-05-17,"Kelantan",17,"Beta B.1.351","voc"
"272",2021-05-17,"Kelantan",0,"Alpha B.1.1.7","voc"
"273",2021-05-17,"Kelantan",0,"Delta B.1.617.2","voc"
"274",2021-05-17,"Kelantan",0,"Eta B.1.525","voi"
"275",2021-05-17,"Kelantan",0,"Theta P.3","voi"
"276",2021-05-17,"Malaysia",67,"Beta B.1.351","voc"
"277",2021-05-17,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc"
"278",2021-05-17,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc"
"279",2021-05-17,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi"
"280",2021-05-17,"W.P. Kuala Lumpur",0,"Theta P.3","voi"
"281",2021-05-17,"Negeri Sembilan",1,"Beta B.1.351","voc"
"282",2021-05-17,"Perak",0,"Alpha B.1.1.7","voc"
"283",2021-05-17,"Perak",0,"Delta B.1.617.2","voc"
"284",2021-05-17,"Perak",0,"Eta B.1.525","voi"
"285",2021-05-17,"Perak",0,"Theta P.3","voi"
"286",2021-05-17,"Perak",10,"Beta B.1.351","voc"
"287",2021-05-17,"Kedah",0,"Alpha B.1.1.7","voc"
"288",2021-05-17,"Kedah",0,"Delta B.1.617.2","voc"
"289",2021-05-17,"Kedah",0,"Eta B.1.525","voi"
"290",2021-05-17,"Kedah",0,"Theta P.3","voi"
"291",2021-05-17,"Perlis",0,"Beta B.1.351","voc"
"292",2021-05-17,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"293",2021-05-17,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"294",2021-05-17,"Pulau Pinang",0,"Eta B.1.525","voi"
"295",2021-05-17,"Pulau Pinang",0,"Theta P.3","voi"
"296",2021-05-17,"Pulau Pinang",0,"Beta B.1.351","voc"
"297",2021-05-17,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"298",2021-05-17,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"299",2021-05-17,"Negeri Sembilan",0,"Eta B.1.525","voi"
"300",2021-05-17,"Negeri Sembilan",0,"Theta P.3","voi"
"301",2021-05-17,"Sabah",1,"Beta B.1.351","voc"
"302",2021-05-17,"Johor",0,"Alpha B.1.1.7","voc"
"303",2021-05-17,"Johor",0,"Delta B.1.617.2","voc"
"304",2021-05-17,"Johor",0,"Eta B.1.525","voi"
"305",2021-05-17,"Johor",0,"Theta P.3","voi"
"306",2021-05-17,"Sarawak",0,"Beta B.1.351","voc"
"307",2021-05-17,"Perlis",0,"Alpha B.1.1.7","voc"
"308",2021-05-17,"Perlis",0,"Delta B.1.617.2","voc"
"309",2021-05-17,"Perlis",0,"Eta B.1.525","voi"
"310",2021-05-17,"Perlis",0,"Theta P.3","voi"
"311",2021-05-17,"Selangor",16,"Beta B.1.351","voc"
"312",2021-05-17,"W.P. Labuan",0,"Alpha B.1.1.7","voc"
"313",2021-05-17,"W.P. Labuan",0,"Delta B.1.617.2","voc"
"314",2021-05-17,"W.P. Labuan",0,"Eta B.1.525","voi"
"315",2021-05-17,"W.P. Labuan",0,"Theta P.3","voi"
"316",2021-05-17,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc"
"317",2021-05-17,"Sabah",0,"Alpha B.1.1.7","voc"
"318",2021-05-17,"Sabah",0,"Delta B.1.617.2","voc"
"319",2021-05-17,"Sabah",0,"Eta B.1.525","voi"
"320",2021-05-17,"Sabah",0,"Theta P.3","voi"
"321",2021-05-17,"W.P. Labuan",0,"Beta B.1.351","voc"
"322",2021-05-17,"Malaysia",0,"Alpha B.1.1.7","voc"
"323",2021-05-17,"Malaysia",0,"Delta B.1.617.2","voc"
"324",2021-05-17,"Malaysia",0,"Eta B.1.525","voi"
"325",2021-05-17,"Malaysia",0,"Theta P.3","voi"
"326",2021-05-25,"Johor",0,"Beta B.1.351","voc"
"327",2021-05-25,"Selangor",0,"Alpha B.1.1.7","voc"
"328",2021-05-25,"Selangor",0,"Delta B.1.617.2","voc"
"329",2021-05-25,"Selangor",0,"Eta B.1.525","voi"
"330",2021-05-25,"Selangor",0,"Theta P.3","voi"
"331",2021-05-25,"Kedah",6,"Beta B.1.351","voc"
"332",2021-05-25,"Sarawak",0,"Alpha B.1.1.7","voc"
"333",2021-05-25,"Sarawak",0,"Delta B.1.617.2","voc"
"334",2021-05-25,"Sarawak",0,"Eta B.1.525","voi"
"335",2021-05-25,"Sarawak",0,"Theta P.3","voi"
"336",2021-05-25,"Kelantan",17,"Beta B.1.351","voc"
"337",2021-05-25,"Kelantan",0,"Alpha B.1.1.7","voc"
"338",2021-05-25,"Kelantan",0,"Delta B.1.617.2","voc"
"339",2021-05-25,"Kelantan",0,"Eta B.1.525","voi"
"340",2021-05-25,"Kelantan",0,"Theta P.3","voi"
"341",2021-05-25,"Malaysia",78,"Beta B.1.351","voc"
"342",2021-05-25,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc"
"343",2021-05-25,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc"
"344",2021-05-25,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi"
"345",2021-05-25,"W.P. Kuala Lumpur",0,"Theta P.3","voi"
"346",2021-05-25,"Negeri Sembilan",1,"Beta B.1.351","voc"
"347",2021-05-25,"Perak",0,"Alpha B.1.1.7","voc"
"348",2021-05-25,"Perak",0,"Delta B.1.617.2","voc"
"349",2021-05-25,"Perak",0,"Eta B.1.525","voi"
"350",2021-05-25,"Perak",0,"Theta P.3","voi"
"351",2021-05-25,"Perak",10,"Beta B.1.351","voc"
"352",2021-05-25,"Kedah",0,"Alpha B.1.1.7","voc"
"353",2021-05-25,"Kedah",0,"Delta B.1.617.2","voc"
"354",2021-05-25,"Kedah",0,"Eta B.1.525","voi"
"355",2021-05-25,"Kedah",0,"Theta P.3","voi"
"356",2021-05-25,"Perlis",0,"Beta B.1.351","voc"
"357",2021-05-25,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"358",2021-05-25,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"359",2021-05-25,"Pulau Pinang",0,"Eta B.1.525","voi"
"360",2021-05-25,"Pulau Pinang",0,"Theta P.3","voi"
"361",2021-05-25,"Pulau Pinang",0,"Beta B.1.351","voc"
"362",2021-05-25,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"363",2021-05-25,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"364",2021-05-25,"Negeri Sembilan",0,"Eta B.1.525","voi"
"365",2021-05-25,"Negeri Sembilan",0,"Theta P.3","voi"
"366",2021-05-25,"Sabah",1,"Beta B.1.351","voc"
"367",2021-05-25,"Johor",0,"Alpha B.1.1.7","voc"
"368",2021-05-25,"Johor",0,"Delta B.1.617.2","voc"
"369",2021-05-25,"Johor",0,"Eta B.1.525","voi"
"370",2021-05-25,"Johor",0,"Theta P.3","voi"
"371",2021-05-25,"Sarawak",0,"Beta B.1.351","voc"
"372",2021-05-25,"Perlis",0,"Alpha B.1.1.7","voc"
"373",2021-05-25,"Perlis",0,"Delta B.1.617.2","voc"
"374",2021-05-25,"Perlis",0,"Eta B.1.525","voi"
"375",2021-05-25,"Perlis",0,"Theta P.3","voi"
"376",2021-05-25,"Selangor",16,"Beta B.1.351","voc"
"377",2021-05-25,"W.P. Labuan",0,"Alpha B.1.1.7","voc"
"378",2021-05-25,"W.P. Labuan",0,"Delta B.1.617.2","voc"
"379",2021-05-25,"W.P. Labuan",0,"Eta B.1.525","voi"
"380",2021-05-25,"W.P. Labuan",0,"Theta P.3","voi"
"381",2021-05-25,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc"
"382",2021-05-25,"Sabah",0,"Alpha B.1.1.7","voc"
"383",2021-05-25,"Sabah",0,"Delta B.1.617.2","voc"
"384",2021-05-25,"Sabah",0,"Eta B.1.525","voi"
"385",2021-05-25,"Sabah",0,"Theta P.3","voi"
"386",2021-05-25,"W.P. Labuan",0,"Beta B.1.351","voc"
"387",2021-05-25,"Malaysia",0,"Alpha B.1.1.7","voc"
"388",2021-05-25,"Malaysia",0,"Delta B.1.617.2","voc"
"389",2021-05-25,"Malaysia",0,"Eta B.1.525","voi"
"390",2021-05-25,"Malaysia",0,"Theta P.3","voi"
"391",2021-05-31,"Selangor",34,"Beta B.1.351","voc"
"392",2021-05-31,"Selangor",5,"Alpha B.1.1.7","voc"
"393",2021-05-31,"Selangor",3,"Delta B.1.617.2","voc"
"394",2021-05-31,"Selangor",0,"Eta B.1.525","voi"
"395",2021-05-31,"Selangor",0,"Theta P.3","voi"
"396",2021-05-31,"Sarawak",7,"Beta B.1.351","voc"
"397",2021-05-31,"Sarawak",0,"Alpha B.1.1.7","voc"
"398",2021-05-31,"Sarawak",0,"Delta B.1.617.2","voc"
"399",2021-05-31,"Sarawak",1,"Eta B.1.525","voi"
"400",2021-05-31,"Sarawak",12,"Theta P.3","voi"
"401",2021-05-31,"Kelantan",18,"Beta B.1.351","voc"
"402",2021-05-31,"Kelantan",0,"Alpha B.1.1.7","voc"
"403",2021-05-31,"Kelantan",0,"Delta B.1.617.2","voc"
"404",2021-05-31,"Kelantan",0,"Eta B.1.525","voi"
